epoch:  0 , training loss:  -0.1864582233130932 , validation loss:  -0.26038687080144884 , validation dice:  0.46288395 , this epoch took:  13.749804258346558 s
epoch:  1 , training loss:  -0.2647364453077316 , validation loss:  -0.2520292657613754 , validation dice:  0.45405006 , this epoch took:  12.047680377960205 s
epoch:  2 , training loss:  -0.29953505674004555 , validation loss:  -0.2706935116648674 , validation dice:  0.45794487 , this epoch took:  12.799404382705688 s
epoch:  3 , training loss:  -0.3209285070002079 , validation loss:  -0.24699503064155579 , validation dice:  0.4448838 , this epoch took:  12.160092830657959 s
epoch:  4 , training loss:  -0.2717974764704704 , validation loss:  -0.23641937643289565 , validation dice:  0.45094296 , this epoch took:  11.640089988708496 s
epoch:  5 , training loss:  -0.29859407764673235 , validation loss:  -0.179899213463068 , validation dice:  0.4002607 , this epoch took:  11.438889741897583 s
epoch:  6 , training loss:  -0.3277159508168697 , validation loss:  -0.25020100027322767 , validation dice:  0.4601908 , this epoch took:  11.364429950714111 s
epoch:  7 , training loss:  -0.31220806342363355 , validation loss:  -0.22930721640586854 , validation dice:  0.41785824 , this epoch took:  11.953005313873291 s
epoch:  8 , training loss:  -0.3022978485226631 , validation loss:  -0.23284262746572496 , validation dice:  0.4288094 , this epoch took:  12.862738370895386 s
epoch:  9 , training loss:  -0.35145338355004785 , validation loss:  -0.2585488098859787 , validation dice:  0.46529528 , this epoch took:  13.168068170547485 s
epoch:  10 , training loss:  -0.34344175457954407 , validation loss:  -0.13504247307777406 , validation dice:  0.43275344 , this epoch took:  11.631458759307861 s
epoch:  11 , training loss:  -0.31191517546772957 , validation loss:  -0.303020749092102 , validation dice:  0.51237386 , this epoch took:  12.442358493804932 s
epoch:  12 , training loss:  -0.3441049063503742 , validation loss:  -0.24599666953086852 , validation dice:  0.4620567 , this epoch took:  12.624415636062622 s
epoch:  13 , training loss:  -0.3429403651058674 , validation loss:  -0.18163775980472566 , validation dice:  0.4201083 , this epoch took:  12.094571352005005 s
epoch:  14 , training loss:  -0.290849818944931 , validation loss:  -0.24761218413710595 , validation dice:  0.4267783 , this epoch took:  12.005530834197998 s
epoch:  15 , training loss:  -0.30505705878138545 , validation loss:  -0.2215011379122734 , validation dice:  0.4610919 , this epoch took:  12.581483125686646 s
epoch:  16 , training loss:  -0.33273104989528657 , validation loss:  -0.26112779796123503 , validation dice:  0.4603281 , this epoch took:  11.463643074035645 s
epoch:  17 , training loss:  -0.32443391090631485 , validation loss:  -0.27457130074501035 , validation dice:  0.48124152 , this epoch took:  12.877584457397461 s
epoch:  18 , training loss:  -0.3384634876251221 , validation loss:  -0.29346858710050583 , validation dice:  0.5121153 , this epoch took:  12.368687868118286 s
epoch:  19 , training loss:  -0.3345437643527985 , validation loss:  -0.31757025599479677 , validation dice:  0.50694966 , this epoch took:  12.161590576171875 s
epoch:  20 , training loss:  -0.33889886584877965 , validation loss:  -0.2697162875533104 , validation dice:  0.46394706 , this epoch took:  13.033775568008423 s
epoch:  21 , training loss:  -0.3290804401934147 , validation loss:  -0.2535978022217751 , validation dice:  0.4915511 , this epoch took:  13.467693567276001 s
epoch:  22 , training loss:  -0.257137527436018 , validation loss:  -0.11632014945149421 , validation dice:  0.38973755 , this epoch took:  12.367034673690796 s
epoch:  23 , training loss:  -0.23884958907961845 , validation loss:  -0.2231873680651188 , validation dice:  0.44912705 , this epoch took:  12.12779974937439 s
epoch:  24 , training loss:  -0.3106659804582596 , validation loss:  -0.2317579984664917 , validation dice:  0.45474258 , this epoch took:  11.51813554763794 s
epoch:  25 , training loss:  -0.32737703636288645 , validation loss:  -0.25476807564496995 , validation dice:  0.4759669 , this epoch took:  11.38171935081482 s
epoch:  26 , training loss:  -0.30434752944111826 , validation loss:  -0.28895299196243285 , validation dice:  0.49251992 , this epoch took:  11.447951078414917 s
epoch:  27 , training loss:  -0.217657885491848 , validation loss:  0.4241655749082565 , validation dice:  0.0 , this epoch took:  11.890773296356201 s
epoch:  28 , training loss:  0.15858661504089833 , validation loss:  0.15170568659901618 , validation dice:  0.0 , this epoch took:  11.992172002792358 s
epoch:  29 , training loss:  0.13832014799118042 , validation loss:  0.16048979207873346 , validation dice:  0.0 , this epoch took:  11.546093702316284 s
epoch:  30 , training loss:  0.1335240218937397 , validation loss:  0.1558614553511143 , validation dice:  0.0 , this epoch took:  11.40311050415039 s
epoch:  31 , training loss:  0.13343778713047505 , validation loss:  0.14571022719144822 , validation dice:  0.0 , this epoch took:  11.525799036026001 s
epoch:  32 , training loss:  0.13692902013659478 , validation loss:  0.14669731870293617 , validation dice:  0.0 , this epoch took:  12.58625864982605 s
epoch:  33 , training loss:  0.13578504541516304 , validation loss:  0.14648013949394226 , validation dice:  0.0 , this epoch took:  12.925273418426514 s
epoch:  34 , training loss:  0.13286682784557344 , validation loss:  0.13479957312345506 , validation dice:  0.0 , this epoch took:  12.568055629730225 s
epoch:  35 , training loss:  0.13065633577108382 , validation loss:  0.14830443009734154 , validation dice:  0.0 , this epoch took:  12.391103744506836 s
epoch:  36 , training loss:  0.13147333689033985 , validation loss:  0.1558777329325676 , validation dice:  0.0 , this epoch took:  12.700908660888672 s
epoch:  37 , training loss:  0.13655952878296376 , validation loss:  0.1383171285688877 , validation dice:  0.0 , this epoch took:  13.75555419921875 s
epoch:  38 , training loss:  0.13843339323997497 , validation loss:  0.15554910600185395 , validation dice:  0.0 , this epoch took:  12.526390790939331 s
epoch:  39 , training loss:  0.13311025735735893 , validation loss:  0.14034914523363112 , validation dice:  0.0 , this epoch took:  12.803758144378662 s
