id,dataset,segment,type,model,result,metric
case_7,BRAIN_TUMOR_TASK1,TASK1,SIN,ensemble,0.8637673710758809,ndice
case_11,BRAIN_TUMOR_TASK1,TASK1,MUL,ensemble,0.845655060059828,ndice
case_29,BRAIN_TUMOR_TASK1,TASK1,MUL,ensemble,0.918679372729998,ndice
case_8,BRAIN_TUMOR_TASK1,TASK1,MUL,ensemble,0.8600488252840894,ndice
case_15,BRAIN_TUMOR_TASK1,TASK1,MUL,ensemble,0.8532795505393244,ndice
case_21,BRAIN_TUMOR_TASK1,TASK1,MUL,ensemble,0.9328996908438996,ndice
case_20,BRAIN_TUMOR_TASK1,TASK1,MUL,ensemble,0.9646866991516359,ndice
case_7,BRAIN_TUMOR_TASK1,TASK1,MUL,ensemble,0.6232277727408682,ndice
case_11,BRAIN_TUMOR_TASK1,TASK1,DIR,ensemble,0.9176201372945216,ndice
case_11,BRAIN_TUMOR_TASK1,TASK1,DSI,ensemble,0.8662103298017038,ndice
case_11,BRAIN_TUMOR_TASK1,TASK1,DMU,ensemble,0.9174729652765085,ndice
case_11,BRAIN_TUMOR_TASK1,UNCERTAINTY,DIR,ensemble,0.41296156744225354,ndice
case_11,BRAIN_TUMOR_TASK1,UNCERTAINTY,DSI,ensemble,0.3999999999973422,ndice
case_11,BRAIN_TUMOR_TASK1,UNCERTAINTY,DMU,ensemble,0.42954324586560216,ndice
case_29,BRAIN_TUMOR_TASK1,TASK1,DIR,ensemble,0.9584728734060333,ndice
case_29,BRAIN_TUMOR_TASK1,TASK1,DSI,ensemble,0.953958264322776,ndice
case_29,BRAIN_TUMOR_TASK1,TASK1,DMU,ensemble,0.9517017828170123,ndice
case_29,BRAIN_TUMOR_TASK1,UNCERTAINTY,DIR,ensemble,0.4411177644666555,ndice
case_29,BRAIN_TUMOR_TASK1,UNCERTAINTY,DSI,ensemble,0.4727921498619734,ndice
case_29,BRAIN_TUMOR_TASK1,UNCERTAINTY,DMU,ensemble,0.3247232472284782,ndice
case_8,BRAIN_TUMOR_TASK1,TASK1,DIR,ensemble,0.8181818181775435,ndice
case_8,BRAIN_TUMOR_TASK1,TASK1,DSI,ensemble,0.8574514038830592,ndice
case_8,BRAIN_TUMOR_TASK1,TASK1,DMU,ensemble,0.8658337859811742,ndice
case_8,BRAIN_TUMOR_TASK1,UNCERTAINTY,DIR,ensemble,0.3896396396352518,ndice
case_8,BRAIN_TUMOR_TASK1,UNCERTAINTY,DSI,ensemble,0.34011391374824973,ndice
case_8,BRAIN_TUMOR_TASK1,UNCERTAINTY,DMU,ensemble,0.2657657657627729,ndice
case_15,BRAIN_TUMOR_TASK1,TASK1,DIR,ensemble,0.8763948497816464,ndice
case_15,BRAIN_TUMOR_TASK1,TASK1,DSI,ensemble,0.7461617195458231,ndice
case_15,BRAIN_TUMOR_TASK1,TASK1,DMU,ensemble,0.8741837178890981,ndice
case_15,BRAIN_TUMOR_TASK1,UNCERTAINTY,DIR,ensemble,0.4646892655334415,ndice
case_15,BRAIN_TUMOR_TASK1,UNCERTAINTY,DSI,ensemble,0.2126816380435094,ndice
case_15,BRAIN_TUMOR_TASK1,UNCERTAINTY,DMU,ensemble,0.2412387938040649,ndice
case_21,BRAIN_TUMOR_TASK1,TASK1,DIR,ensemble,0.9301014656118092,ndice
case_21,BRAIN_TUMOR_TASK1,TASK1,DSI,ensemble,0.9364093463444649,ndice
case_21,BRAIN_TUMOR_TASK1,TASK1,DMU,ensemble,0.9238356164358251,ndice
case_21,BRAIN_TUMOR_TASK1,UNCERTAINTY,DIR,ensemble,0.488935721807282,ndice
case_21,BRAIN_TUMOR_TASK1,UNCERTAINTY,DSI,ensemble,0.5415595544083843,ndice
case_21,BRAIN_TUMOR_TASK1,UNCERTAINTY,DMU,ensemble,0.4097035040376051,ndice
case_20,BRAIN_TUMOR_TASK1,TASK1,DIR,ensemble,0.9570222563278703,ndice
case_20,BRAIN_TUMOR_TASK1,TASK1,DSI,ensemble,0.9710806697071116,ndice
case_20,BRAIN_TUMOR_TASK1,TASK1,DMU,ensemble,0.9716016660319137,ndice
case_20,BRAIN_TUMOR_TASK1,UNCERTAINTY,DIR,ensemble,0.47317073169577634,ndice
case_20,BRAIN_TUMOR_TASK1,UNCERTAINTY,DSI,ensemble,0.24142312579108738,ndice
case_20,BRAIN_TUMOR_TASK1,UNCERTAINTY,DMU,ensemble,0.27963525835016306,ndice
case_7,BRAIN_TUMOR_TASK1,TASK1,DIR,ensemble,0.532657657656158,ndice
case_7,BRAIN_TUMOR_TASK1,TASK1,DSI,ensemble,0.9467815509328598,ndice
case_7,BRAIN_TUMOR_TASK1,TASK1,DMU,ensemble,0.901515151510883,ndice
case_7,BRAIN_TUMOR_TASK1,UNCERTAINTY,DIR,ensemble,0.09083263246349174,ndice
case_7,BRAIN_TUMOR_TASK1,UNCERTAINTY,DSI,ensemble,0.26812159002129293,ndice
case_7,BRAIN_TUMOR_TASK1,UNCERTAINTY,DMU,ensemble,0.059215396002741616,ndice
case_11,BRAIN_TUMOR_TASK1,TASK1,SIN,hier_probabilistic,0.8183241148676876,ndice
case_29,BRAIN_TUMOR_TASK1,TASK1,SIN,hier_probabilistic,0.9056501789045669,ndice
case_8,BRAIN_TUMOR_TASK1,TASK1,SIN,hier_probabilistic,0.7789136160059081,ndice
case_15,BRAIN_TUMOR_TASK1,TASK1,SIN,hier_probabilistic,0.7906498235801288,ndice
case_21,BRAIN_TUMOR_TASK1,TASK1,SIN,hier_probabilistic,0.9165806722855907,ndice
case_20,BRAIN_TUMOR_TASK1,TASK1,SIN,hier_probabilistic,0.9270869330296289,ndice
case_7,BRAIN_TUMOR_TASK1,TASK1,SIN,hier_probabilistic,0.6722671328838813,ndice
case_11,BRAIN_TUMOR_TASK1,TASK1,MUL,hier_probabilistic,0.8242890547173967,ndice
case_29,BRAIN_TUMOR_TASK1,TASK1,MUL,hier_probabilistic,0.9142344173980963,ndice
case_8,BRAIN_TUMOR_TASK1,TASK1,MUL,hier_probabilistic,0.8654636537876325,ndice
case_15,BRAIN_TUMOR_TASK1,TASK1,MUL,hier_probabilistic,0.8569874225667415,ndice
case_21,BRAIN_TUMOR_TASK1,TASK1,MUL,hier_probabilistic,0.9325583191555287,ndice
case_20,BRAIN_TUMOR_TASK1,TASK1,MUL,hier_probabilistic,0.9693737699948035,ndice
case_7,BRAIN_TUMOR_TASK1,TASK1,MUL,hier_probabilistic,0.7231285321824765,ndice
case_11,BRAIN_TUMOR_TASK1,TASK1,SIN,bayesian,0.6880183225362552,ndice
case_29,BRAIN_TUMOR_TASK1,TASK1,SIN,bayesian,0.881215435910951,ndice
case_8,BRAIN_TUMOR_TASK1,TASK1,SIN,bayesian,0.5815159305134354,ndice
case_15,BRAIN_TUMOR_TASK1,TASK1,SIN,bayesian,0.6085956121830688,ndice
case_21,BRAIN_TUMOR_TASK1,TASK1,SIN,bayesian,0.8916579028038276,ndice
case_20,BRAIN_TUMOR_TASK1,TASK1,SIN,bayesian,0.8160052646720288,ndice
case_7,BRAIN_TUMOR_TASK1,TASK1,SIN,bayesian,0.518579666628774,ndice
case_11,BRAIN_TUMOR_TASK1,TASK1,MUL,bayesian,0.7531783822649107,ndice
case_29,BRAIN_TUMOR_TASK1,TASK1,MUL,bayesian,0.8978084580782946,ndice
case_8,BRAIN_TUMOR_TASK1,TASK1,MUL,bayesian,0.808844068319219,ndice
case_15,BRAIN_TUMOR_TASK1,TASK1,MUL,bayesian,0.7948066142445837,ndice
case_21,BRAIN_TUMOR_TASK1,TASK1,MUL,bayesian,0.9039527184528107,ndice
case_20,BRAIN_TUMOR_TASK1,TASK1,MUL,bayesian,0.9345640625068806,ndice
case_7,BRAIN_TUMOR_TASK1,TASK1,MUL,bayesian,0.38984362142175055,ndice
case_11,BRAIN_TUMOR_TASK1,TASK1,SIN,probabilistic,0.801022196101345,ndice
case_29,BRAIN_TUMOR_TASK1,TASK1,SIN,probabilistic,0.896258550216516,ndice
case_8,BRAIN_TUMOR_TASK1,TASK1,SIN,probabilistic,0.7358386983154556,ndice
case_15,BRAIN_TUMOR_TASK1,TASK1,SIN,probabilistic,0.6722771130291255,ndice
case_21,BRAIN_TUMOR_TASK1,TASK1,SIN,probabilistic,0.8978104634335607,ndice
case_20,BRAIN_TUMOR_TASK1,TASK1,SIN,probabilistic,0.9013533323205652,ndice
case_7,BRAIN_TUMOR_TASK1,TASK1,SIN,probabilistic,0.6951493950484293,ndice
case_11,BRAIN_TUMOR_TASK1,TASK1,MUL,probabilistic,0.827551982708827,ndice
case_29,BRAIN_TUMOR_TASK1,TASK1,MUL,probabilistic,0.9126521883924273,ndice
case_8,BRAIN_TUMOR_TASK1,TASK1,MUL,probabilistic,0.8687058439793274,ndice
case_15,BRAIN_TUMOR_TASK1,TASK1,MUL,probabilistic,0.8538459151790726,ndice
case_21,BRAIN_TUMOR_TASK1,TASK1,MUL,probabilistic,0.9310165250439439,ndice
case_20,BRAIN_TUMOR_TASK1,TASK1,MUL,probabilistic,0.9663354795726627,ndice
case_7,BRAIN_TUMOR_TASK1,TASK1,MUL,probabilistic,0.7501577182310191,ndice
case_93,HEART,LUNGS,SIN,ensemble,0.9518825427280794,ndice
case_93,HEART,HEART,SIN,ensemble,0.9561721410843209,ndice
case_103,HEART,LUNGS,SIN,ensemble,0.9409802034708602,ndice
case_103,HEART,HEART,SIN,ensemble,0.9691018809922128,ndice
case_61,HEART,LUNGS,SIN,ensemble,0.9657206648648767,ndice
case_61,HEART,HEART,SIN,ensemble,0.9815033167377275,ndice
case_83,HEART,LUNGS,SIN,ensemble,0.9609281945705074,ndice
case_83,HEART,HEART,SIN,ensemble,0.9781516210521053,ndice
case_52,HEART,LUNGS,SIN,ensemble,0.9348772640326852,ndice
case_52,HEART,HEART,SIN,ensemble,0.9098798927296938,ndice
case_107,HEART,LUNGS,SIN,ensemble,0.9545011065963565,ndice
case_107,HEART,HEART,SIN,ensemble,0.9760369847541851,ndice
case_106,HEART,LUNGS,SIN,ensemble,0.9625583447840425,ndice
