epoch:  0 , training loss:  0.31216967 , validation loss:  0.3084923 , validation dice:  0.0 , this epoch took:  1098.8149795532227 s
epoch:  1 , training loss:  0.3090969 , validation loss:  0.30799523 , validation dice:  0.0 , this epoch took:  1060.3850574493408 s
epoch:  2 , training loss:  0.30896485 , validation loss:  0.30833074 , validation dice:  0.0 , this epoch took:  1083.6312801837921 s
epoch:  3 , training loss:  0.30899653 , validation loss:  0.30808505 , validation dice:  0.0 , this epoch took:  1013.2349963188171 s
epoch:  4 , training loss:  0.30865866 , validation loss:  0.30790502 , validation dice:  0.0 , this epoch took:  1061.8707520961761 s
epoch:  5 , training loss:  0.3085462 , validation loss:  0.3080282 , validation dice:  0.0 , this epoch took:  1019.4403159618378 s
epoch:  6 , training loss:  0.3088739 , validation loss:  0.3088662 , validation dice:  0.0 , this epoch took:  1018.246349811554 s
epoch:  7 , training loss:  0.30889466 , validation loss:  0.30799025 , validation dice:  0.0 , this epoch took:  1025.8977420330048 s
epoch:  8 , training loss:  0.30864984 , validation loss:  0.30788362 , validation dice:  0.0 , this epoch took:  1001.4092757701874 s
epoch:  9 , training loss:  0.3089328 , validation loss:  0.30807412 , validation dice:  0.0 , this epoch took:  1023.5779814720154 s
epoch:  10 , training loss:  0.30888677 , validation loss:  0.30795857 , validation dice:  0.0 , this epoch took:  1052.7630262374878 s
epoch:  11 , training loss:  0.3088816 , validation loss:  0.30770856 , validation dice:  0.0 , this epoch took:  1015.384416103363 s
epoch:  12 , training loss:  0.30887806 , validation loss:  0.30832976 , validation dice:  0.0 , this epoch took:  1020.2768640518188 s
epoch:  13 , training loss:  0.3087237 , validation loss:  0.30759916 , validation dice:  0.0 , this epoch took:  1035.914860010147 s
epoch:  14 , training loss:  0.3091062 , validation loss:  0.30818015 , validation dice:  0.0 , this epoch took:  1070.6751210689545 s
epoch:  15 , training loss:  0.3089012 , validation loss:  0.30771312 , validation dice:  0.0 , this epoch took:  1062.3800189495087 s
epoch:  16 , training loss:  0.3088671 , validation loss:  0.30878764 , validation dice:  0.0 , this epoch took:  1081.331149339676 s
epoch:  17 , training loss:  0.30876678 , validation loss:  0.30813235 , validation dice:  0.0 , this epoch took:  995.5480089187622 s
epoch:  18 , training loss:  0.3086861 , validation loss:  0.30825093 , validation dice:  0.0 , this epoch took:  997.034903049469 s
epoch:  19 , training loss:  0.3089085 , validation loss:  0.3080746 , validation dice:  0.0 , this epoch took:  1001.4664571285248 s
epoch:  20 , training loss:  0.30881208 , validation loss:  0.30787894 , validation dice:  0.0 , this epoch took:  1017.5559697151184 s
epoch:  21 , training loss:  0.30885762 , validation loss:  0.30836222 , validation dice:  0.0 , this epoch took:  1027.6291835308075 s
epoch:  22 , training loss:  0.30878088 , validation loss:  0.30831853 , validation dice:  0.0 , this epoch took:  1032.8038008213043 s
epoch:  23 , training loss:  0.3088422 , validation loss:  0.30844897 , validation dice:  0.0 , this epoch took:  1058.969482421875 s
epoch:  24 , training loss:  0.30876637 , validation loss:  0.30798644 , validation dice:  0.0 , this epoch took:  1004.4606957435608 s
