epoch:  47 , training loss:  0.11265917810797692 , validation loss:  0.10040279865264892 , validation dice:  0.0 , this epoch took:  17.052443265914917 s
epoch:  48 , training loss:  0.10422098106145859 , validation loss:  0.10156082212924958 , validation dice:  0.0 , this epoch took:  17.25942587852478 s
epoch:  49 , training loss:  0.09539591009914875 , validation loss:  0.10442327156662941 , validation dice:  0.0 , this epoch took:  17.606658220291138 s
epoch:  50 , training loss:  0.10826645500957965 , validation loss:  0.11116909801959991 , validation dice:  0.0 , this epoch took:  17.85590648651123 s
epoch:  51 , training loss:  0.10736167532205582 , validation loss:  0.10002265274524688 , validation dice:  0.0 , this epoch took:  17.529778480529785 s
epoch:  52 , training loss:  0.10724259580671787 , validation loss:  0.10821097299456596 , validation dice:  0.0 , this epoch took:  18.104017734527588 s
epoch:  53 , training loss:  0.11103462961316109 , validation loss:  0.101794915497303 , validation dice:  0.0 , this epoch took:  17.523110389709473 s
epoch:  54 , training loss:  0.10823134170472622 , validation loss:  0.10920087039470673 , validation dice:  0.0 , this epoch took:  17.041259288787842 s
epoch:  55 , training loss:  0.1016107029914856 , validation loss:  0.10642072066664696 , validation dice:  0.0 , this epoch took:  17.15386986732483 s
epoch:  56 , training loss:  0.10875221188366413 , validation loss:  0.10563235223293305 , validation dice:  0.0 , this epoch took:  17.15945601463318 s
epoch:  57 , training loss:  0.1096358697861433 , validation loss:  0.09906451493501663 , validation dice:  0.0 , this epoch took:  17.45277714729309 s
epoch:  58 , training loss:  0.10104251435399056 , validation loss:  0.1052468754351139 , validation dice:  0.0 , this epoch took:  17.243392944335938 s
epoch:  59 , training loss:  0.09980358806997537 , validation loss:  0.10240800887346267 , validation dice:  0.0 , this epoch took:  16.87095880508423 s
epoch:  60 , training loss:  0.10540972632169723 , validation loss:  0.09909937024116516 , validation dice:  0.0 , this epoch took:  16.783533096313477 s
epoch:  61 , training loss:  0.10388023512065411 , validation loss:  0.10310396194458007 , validation dice:  0.0 , this epoch took:  16.890875339508057 s
epoch:  62 , training loss:  0.11189927304536104 , validation loss:  0.10594091713428497 , validation dice:  0.0 , this epoch took:  16.63326859474182 s
epoch:  63 , training loss:  0.1039674866721034 , validation loss:  0.1044345460832119 , validation dice:  0.0 , this epoch took:  17.423762321472168 s
