epoch:  47 , training loss:  0.29827357590198517 , validation loss:  0.28056726574897767 , validation dice:  0.0 , this epoch took:  10.841833591461182 s
epoch:  48 , training loss:  0.29172707641124723 , validation loss:  0.2811132231354713 , validation dice:  0.0 , this epoch took:  10.84226369857788 s
epoch:  49 , training loss:  0.29474594521522524 , validation loss:  0.2698064857721329 , validation dice:  0.0 , this epoch took:  10.773694038391113 s
epoch:  50 , training loss:  0.2944464646577835 , validation loss:  0.3245572292804718 , validation dice:  0.0 , this epoch took:  10.832206964492798 s
epoch:  51 , training loss:  0.29619143176078794 , validation loss:  0.29048503041267393 , validation dice:  0.0 , this epoch took:  10.718111753463745 s
epoch:  52 , training loss:  0.29605521696805953 , validation loss:  0.2821973967552185 , validation dice:  0.0 , this epoch took:  10.83350419998169 s
epoch:  53 , training loss:  0.29319191110134124 , validation loss:  0.28462161362171173 , validation dice:  0.0 , this epoch took:  10.93684697151184 s
epoch:  54 , training loss:  0.28755709797143936 , validation loss:  0.2748026913404465 , validation dice:  0.0 , this epoch took:  10.724225759506226 s
epoch:  55 , training loss:  0.2925179082751274 , validation loss:  0.2806424987316132 , validation dice:  0.0 , this epoch took:  10.822082996368408 s
epoch:  56 , training loss:  0.29037323051691055 , validation loss:  0.29278990507125857 , validation dice:  0.0 , this epoch took:  10.828755378723145 s
epoch:  57 , training loss:  0.29286232268810275 , validation loss:  0.2790813446044922 , validation dice:  0.0 , this epoch took:  10.77823781967163 s
epoch:  58 , training loss:  0.2961016597151756 , validation loss:  0.27918705821037293 , validation dice:  0.0 , this epoch took:  10.7195405960083 s
epoch:  59 , training loss:  0.2912903000116348 , validation loss:  0.2814210879802704 , validation dice:  0.0 , this epoch took:  10.644531965255737 s
epoch:  60 , training loss:  0.2922879628539085 , validation loss:  0.3309446883201599 , validation dice:  0.0 , this epoch took:  10.79942512512207 s
epoch:  61 , training loss:  0.2925695163011551 , validation loss:  0.2799741464853287 , validation dice:  0.0 , this epoch took:  10.689208984375 s
epoch:  62 , training loss:  0.29789759212732314 , validation loss:  0.28545646905899047 , validation dice:  0.0 , this epoch took:  10.66615891456604 s
epoch:  63 , training loss:  0.28604410821199416 , validation loss:  0.29452387630939486 , validation dice:  0.0 , this epoch took:  10.606618165969849 s
epoch:  64 , training loss:  0.29513806945085524 , validation loss:  0.28239568769931794 , validation dice:  0.0 , this epoch took:  10.750044584274292 s
epoch:  65 , training loss:  0.29106534016132357 , validation loss:  0.2974158471822739 , validation dice:  0.0 , this epoch took:  10.721794366836548 s
epoch:  66 , training loss:  0.29364537703990934 , validation loss:  0.28667426586151123 , validation dice:  0.0 , this epoch took:  10.733638048171997 s
epoch:  67 , training loss:  0.29169499737024307 , validation loss:  0.2779167318344116 , validation dice:  0.0 , this epoch took:  10.714954137802124 s
epoch:  68 , training loss:  0.3002631418704987 , validation loss:  0.2924379566311836 , validation dice:  0.0 , this epoch took:  10.697932481765747 s
epoch:  69 , training loss:  0.2916188430786133 , validation loss:  0.3007353276014328 , validation dice:  0.0 , this epoch took:  10.61587119102478 s
epoch:  70 , training loss:  0.2941857464313507 , validation loss:  0.28220362663269044 , validation dice:  0.0 , this epoch took:  10.670488595962524 s
epoch:  71 , training loss:  0.2929317855834961 , validation loss:  0.2750466960668564 , validation dice:  0.0 , this epoch took:  10.752603769302368 s
epoch:  72 , training loss:  0.2869416970610619 , validation loss:  0.2953003692626953 , validation dice:  0.0 , this epoch took:  10.656221628189087 s
epoch:  73 , training loss:  0.29349565094709396 , validation loss:  0.29192170679569246 , validation dice:  0.0 , this epoch took:  10.666594505310059 s
epoch:  74 , training loss:  0.29180807566642764 , validation loss:  0.2782729277014732 , validation dice:  0.0 , this epoch took:  10.601247310638428 s
epoch:  75 , training loss:  0.2905668810606003 , validation loss:  0.27584578454494474 , validation dice:  0.0 , this epoch took:  10.663984775543213 s
epoch:  76 , training loss:  0.29084439730644224 , validation loss:  0.272714329957962 , validation dice:  0.0 , this epoch took:  10.833080053329468 s
epoch:  77 , training loss:  0.28628533995151517 , validation loss:  0.2765200242400169 , validation dice:  0.0 , this epoch took:  10.66090989112854 s
epoch:  78 , training loss:  0.2939920545220375 , validation loss:  0.29401041209697726 , validation dice:  0.0 , this epoch took:  10.655591249465942 s
epoch:  79 , training loss:  0.28998204588890075 , validation loss:  0.27764210402965545 , validation dice:  0.0 , this epoch took:  10.675365447998047 s
epoch:  80 , training loss:  0.29089206802845 , validation loss:  0.2760173612833023 , validation dice:  0.0 , this epoch took:  10.572872638702393 s
epoch:  81 , training loss:  0.291600378215313 , validation loss:  0.28135369837284085 , validation dice:  0.0 , this epoch took:  10.758260011672974 s
epoch:  82 , training loss:  0.29350232845544816 , validation loss:  0.27794780492782595 , validation dice:  0.0 , this epoch took:  11.026273488998413 s
epoch:  83 , training loss:  0.28959805220365525 , validation loss:  0.2740151107311249 , validation dice:  0.0 , this epoch took:  10.712129592895508 s
epoch:  84 , training loss:  0.2909861282706261 , validation loss:  0.27710940420627594 , validation dice:  0.0 , this epoch took:  10.870585918426514 s
epoch:  85 , training loss:  0.28993608272075655 , validation loss:  0.2864016032218933 , validation dice:  0.0 , this epoch took:  10.792461156845093 s
epoch:  86 , training loss:  0.2885010952353477 , validation loss:  0.28056967854499815 , validation dice:  0.0 , this epoch took:  10.887345552444458 s
epoch:  87 , training loss:  0.2921466460227966 , validation loss:  0.29130679488182065 , validation dice:  0.0 , this epoch took:  10.841548919677734 s
epoch:  88 , training loss:  0.2935507370233536 , validation loss:  0.2723992344737053 , validation dice:  0.0 , this epoch took:  10.701647520065308 s
epoch:  89 , training loss:  0.2887633821964264 , validation loss:  0.2812756061553955 , validation dice:  0.0 , this epoch took:  10.696163415908813 s
epoch:  90 , training loss:  0.2909605494737625 , validation loss:  0.2822855323553085 , validation dice:  0.0 , this epoch took:  10.712608814239502 s
epoch:  91 , training loss:  0.2921722304224968 , validation loss:  0.27706798166036606 , validation dice:  0.0 , this epoch took:  10.824313163757324 s
epoch:  92 , training loss:  0.2952550737261772 , validation loss:  0.3178774094581604 , validation dice:  0.0 , this epoch took:  10.817055463790894 s
epoch:  93 , training loss:  0.2949286276102066 , validation loss:  0.2851528376340866 , validation dice:  0.0 , this epoch took:  10.712290287017822 s
epoch:  94 , training loss:  0.2893611693382263 , validation loss:  0.2814038783311844 , validation dice:  0.0 , this epoch took:  10.857535123825073 s
epoch:  95 , training loss:  0.29387837725877763 , validation loss:  0.27707521080970765 , validation dice:  0.0 , this epoch took:  10.785156726837158 s
epoch:  96 , training loss:  0.29610447376966476 , validation loss:  0.29913252472877505 , validation dice:  0.0 , this epoch took:  10.824987173080444 s
epoch:  97 , training loss:  0.2862683503627777 , validation loss:  0.27667004823684693 , validation dice:  0.0 , this epoch took:  10.847417831420898 s
epoch:  98 , training loss:  0.29607239133119584 , validation loss:  0.27964387714862826 , validation dice:  0.0 , this epoch took:  10.617595911026001 s
epoch:  99 , training loss:  0.29350894516706466 , validation loss:  0.29474422574043274 , validation dice:  0.0 , this epoch took:  10.745356559753418 s
epoch:  100 , training loss:  0.2846774065494537 , validation loss:  0.2740242898464203 , validation dice:  0.0 , this epoch took:  10.833803176879883 s
