epoch:  0 , training loss:  0.31411952 , validation loss:  0.30726853 , validation dice:  0.0 , this epoch took:  1031.965493440628 s
epoch:  1 , training loss:  0.30910754 , validation loss:  0.3073526 , validation dice:  0.0 , this epoch took:  1049.4559743404388 s
epoch:  2 , training loss:  0.3091734 , validation loss:  0.30718046 , validation dice:  0.0 , this epoch took:  1020.5952439308167 s
epoch:  3 , training loss:  0.30903444 , validation loss:  0.30738398 , validation dice:  0.0 , this epoch took:  1011.3774602413177 s
epoch:  4 , training loss:  0.30916515 , validation loss:  0.30600777 , validation dice:  0.0 , this epoch took:  1081.8052275180817 s
epoch:  5 , training loss:  0.30906415 , validation loss:  0.30724412 , validation dice:  0.0 , this epoch took:  1060.2216882705688 s
epoch:  6 , training loss:  0.30924144 , validation loss:  0.3069137 , validation dice:  0.0 , this epoch took:  1052.7959368228912 s
epoch:  7 , training loss:  0.30907935 , validation loss:  0.30647683 , validation dice:  0.0 , this epoch took:  981.9648203849792 s
epoch:  8 , training loss:  0.3090575 , validation loss:  0.306654 , validation dice:  0.0 , this epoch took:  1053.1762182712555 s
epoch:  9 , training loss:  0.30899864 , validation loss:  0.3069471 , validation dice:  0.0 , this epoch took:  1049.9267621040344 s
epoch:  10 , training loss:  0.30897868 , validation loss:  0.30724725 , validation dice:  0.0 , this epoch took:  1050.3366236686707 s
epoch:  11 , training loss:  0.3089327 , validation loss:  0.3070288 , validation dice:  0.0 , this epoch took:  1032.8199157714844 s
epoch:  12 , training loss:  0.30918643 , validation loss:  0.30670264 , validation dice:  0.0 , this epoch took:  999.9714410305023 s
epoch:  13 , training loss:  0.30894628 , validation loss:  0.30707705 , validation dice:  0.0 , this epoch took:  1017.2591707706451 s
epoch:  14 , training loss:  0.3088981 , validation loss:  0.30674297 , validation dice:  0.0 , this epoch took:  1010.9693138599396 s
epoch:  15 , training loss:  0.30904278 , validation loss:  0.30690196 , validation dice:  0.0 , this epoch took:  1021.4676349163055 s
epoch:  16 , training loss:  0.30922213 , validation loss:  0.30708596 , validation dice:  0.0 , this epoch took:  1034.7920632362366 s
epoch:  17 , training loss:  0.3091399 , validation loss:  0.30692506 , validation dice:  0.0 , this epoch took:  1025.6400210857391 s
epoch:  18 , training loss:  0.30893865 , validation loss:  0.3070957 , validation dice:  0.0 , this epoch took:  1053.3960518836975 s
epoch:  19 , training loss:  0.30918384 , validation loss:  0.30752242 , validation dice:  0.0 , this epoch took:  1093.1887001991272 s
epoch:  20 , training loss:  0.30906817 , validation loss:  0.30689564 , validation dice:  0.0 , this epoch took:  1053.9816753864288 s
epoch:  21 , training loss:  0.30909967 , validation loss:  0.30672207 , validation dice:  0.0 , this epoch took:  1080.4168622493744 s
epoch:  22 , training loss:  0.3092121 , validation loss:  0.30721968 , validation dice:  0.0 , this epoch took:  1073.208328485489 s
epoch:  23 , training loss:  0.30899593 , validation loss:  0.30669013 , validation dice:  0.0 , this epoch took:  1055.9412138462067 s
epoch:  24 , training loss:  0.30897525 , validation loss:  0.30682126 , validation dice:  0.0 , this epoch took:  1047.0756814479828 s
epoch:  25 , training loss:  0.30901125 , validation loss:  0.30687517 , validation dice:  0.0 , this epoch took:  972.1557471752167 s
epoch:  26 , training loss:  0.30878964 , validation loss:  0.30690593 , validation dice:  0.0 , this epoch took:  1069.9160656929016 s
epoch:  27 , training loss:  0.30923346 , validation loss:  0.30704913 , validation dice:  0.0 , this epoch took:  1059.395516872406 s
epoch:  28 , training loss:  0.30944258 , validation loss:  0.30697432 , validation dice:  0.0 , this epoch took:  1068.8609564304352 s
epoch:  29 , training loss:  0.30917993 , validation loss:  0.3073643 , validation dice:  0.0 , this epoch took:  1042.6713404655457 s
epoch:  30 , training loss:  0.30914307 , validation loss:  0.30711517 , validation dice:  0.0 , this epoch took:  1062.554347038269 s
epoch:  31 , training loss:  0.30902687 , validation loss:  0.3070306 , validation dice:  0.0 , this epoch took:  994.1044566631317 s
epoch:  32 , training loss:  0.30883992 , validation loss:  0.30637577 , validation dice:  0.0 , this epoch took:  1060.242892742157 s
epoch:  33 , training loss:  0.30891487 , validation loss:  0.30657163 , validation dice:  0.0 , this epoch took:  1017.5997562408447 s
epoch:  34 , training loss:  0.30898428 , validation loss:  0.3072364 , validation dice:  0.0 , this epoch took:  1032.0104365348816 s
epoch:  35 , training loss:  0.30911815 , validation loss:  0.3069334 , validation dice:  0.0 , this epoch took:  1097.0114731788635 s
epoch:  36 , training loss:  0.30904537 , validation loss:  0.3071472 , validation dice:  0.0 , this epoch took:  1085.7574059963226 s
epoch:  37 , training loss:  0.30919373 , validation loss:  0.3070201 , validation dice:  0.0 , this epoch took:  1060.5536305904388 s
epoch:  38 , training loss:  0.3090215 , validation loss:  0.3072623 , validation dice:  0.0 , this epoch took:  1005.2606475353241 s
epoch:  39 , training loss:  0.30927366 , validation loss:  0.30706677 , validation dice:  0.0 , this epoch took:  1065.503375530243 s
epoch:  40 , training loss:  0.309044 , validation loss:  0.30727422 , validation dice:  0.0 , this epoch took:  1000.1449048519135 s
epoch:  41 , training loss:  0.30931088 , validation loss:  0.30692536 , validation dice:  0.0 , this epoch took:  1082.694980621338 s
epoch:  42 , training loss:  0.30897397 , validation loss:  0.30642083 , validation dice:  0.0 , this epoch took:  1025.7438621520996 s
epoch:  43 , training loss:  0.30905822 , validation loss:  0.30696034 , validation dice:  0.0 , this epoch took:  996.0279531478882 s
epoch:  44 , training loss:  0.30925152 , validation loss:  0.30653104 , validation dice:  0.0 , this epoch took:  1055.1309077739716 s
epoch:  45 , training loss:  0.30880982 , validation loss:  0.3071989 , validation dice:  0.0 , this epoch took:  1034.4528000354767 s
epoch:  46 , training loss:  0.30890968 , validation loss:  0.30691096 , validation dice:  0.0 , this epoch took:  1006.1851952075958 s
epoch:  47 , training loss:  0.3090238 , validation loss:  0.30688712 , validation dice:  0.0 , this epoch took:  1022.9161067008972 s
epoch:  48 , training loss:  0.30913782 , validation loss:  0.3071557 , validation dice:  0.0 , this epoch took:  1042.8351616859436 s
epoch:  49 , training loss:  0.3093242 , validation loss:  0.30690414 , validation dice:  0.0 , this epoch took:  1014.4799783229828 s
epoch:  50 , training loss:  0.3091267 , validation loss:  0.30740377 , validation dice:  0.0 , this epoch took:  1040.86474275589 s
epoch:  51 , training loss:  0.30894172 , validation loss:  0.30685303 , validation dice:  0.0 , this epoch took:  1104.6950008869171 s
epoch:  52 , training loss:  0.30905655 , validation loss:  0.30671075 , validation dice:  0.0 , this epoch took:  1095.3159880638123 s
epoch:  53 , training loss:  0.30892467 , validation loss:  0.306816 , validation dice:  0.0 , this epoch took:  1056.763859987259 s
epoch:  54 , training loss:  0.30897418 , validation loss:  0.30721244 , validation dice:  0.0 , this epoch took:  1006.2681031227112 s
epoch:  55 , training loss:  0.30891383 , validation loss:  0.30700183 , validation dice:  0.0 , this epoch took:  1030.4107403755188 s
epoch:  56 , training loss:  0.3091358 , validation loss:  0.3065391 , validation dice:  0.0 , this epoch took:  1077.1493182182312 s
epoch:  57 , training loss:  0.30895275 , validation loss:  0.3066469 , validation dice:  0.0 , this epoch took:  1041.836077451706 s
epoch:  58 , training loss:  0.30886504 , validation loss:  0.30717447 , validation dice:  0.0 , this epoch took:  1021.9082984924316 s
epoch:  59 , training loss:  0.30912486 , validation loss:  0.30695495 , validation dice:  0.0 , this epoch took:  1034.899971961975 s
epoch:  60 , training loss:  0.309027 , validation loss:  0.30723962 , validation dice:  0.0 , this epoch took:  1074.4604427814484 s
epoch:  61 , training loss:  0.3090709 , validation loss:  0.30717924 , validation dice:  0.0 , this epoch took:  1008.8100717067719 s
epoch:  62 , training loss:  0.30897158 , validation loss:  0.3071285 , validation dice:  0.0 , this epoch took:  1061.1843359470367 s
epoch:  63 , training loss:  0.30903733 , validation loss:  0.30690753 , validation dice:  0.0 , this epoch took:  1024.9013938903809 s
epoch:  64 , training loss:  0.30905947 , validation loss:  0.30758196 , validation dice:  0.0 , this epoch took:  1048.4201276302338 s
epoch:  65 , training loss:  0.30908272 , validation loss:  0.30723417 , validation dice:  0.0 , this epoch took:  1111.7600350379944 s
epoch:  66 , training loss:  0.30913764 , validation loss:  0.3066197 , validation dice:  0.0 , this epoch took:  1068.9525549411774 s
epoch:  67 , training loss:  0.30878308 , validation loss:  0.30713072 , validation dice:  0.0 , this epoch took:  1037.725571155548 s
epoch:  68 , training loss:  0.30886474 , validation loss:  0.30722412 , validation dice:  0.0 , this epoch took:  1049.0641934871674 s
epoch:  69 , training loss:  0.30901715 , validation loss:  0.3069369 , validation dice:  0.0 , this epoch took:  1063.4653129577637 s
epoch:  70 , training loss:  0.30893078 , validation loss:  0.30681527 , validation dice:  0.0 , this epoch took:  1075.2258341312408 s
epoch:  71 , training loss:  0.30903956 , validation loss:  0.30686846 , validation dice:  0.0 , this epoch took:  1058.7265493869781 s
epoch:  72 , training loss:  0.3090389 , validation loss:  0.30739117 , validation dice:  0.0 , this epoch took:  991.8632152080536 s
epoch:  73 , training loss:  0.30921623 , validation loss:  0.3069799 , validation dice:  0.0 , this epoch took:  1024.2389450073242 s
epoch:  74 , training loss:  0.308996 , validation loss:  0.30706015 , validation dice:  0.0 , this epoch took:  1035.642838716507 s
epoch:  75 , training loss:  0.30865106 , validation loss:  0.30682188 , validation dice:  0.0 , this epoch took:  1001.3637211322784 s
epoch:  76 , training loss:  0.30883354 , validation loss:  0.30688336 , validation dice:  0.0 , this epoch took:  1029.6272399425507 s
epoch:  77 , training loss:  0.30913097 , validation loss:  0.30690646 , validation dice:  0.0 , this epoch took:  1023.9844307899475 s
epoch:  78 , training loss:  0.30930567 , validation loss:  0.30724946 , validation dice:  0.0 , this epoch took:  1050.3097910881042 s
epoch:  79 , training loss:  0.30891672 , validation loss:  0.30709267 , validation dice:  0.0 , this epoch took:  1056.4362185001373 s
epoch:  80 , training loss:  0.30886012 , validation loss:  0.30690774 , validation dice:  0.0 , this epoch took:  1038.6286323070526 s
epoch:  81 , training loss:  0.30872723 , validation loss:  0.30710572 , validation dice:  0.0 , this epoch took:  995.0075173377991 s
epoch:  82 , training loss:  0.30907696 , validation loss:  0.3072663 , validation dice:  0.0 , this epoch took:  1037.2203571796417 s
epoch:  83 , training loss:  0.30914068 , validation loss:  0.30685702 , validation dice:  0.0 , this epoch took:  1073.6873741149902 s
epoch:  84 , training loss:  0.30901822 , validation loss:  0.30674478 , validation dice:  0.0 , this epoch took:  1015.6627280712128 s
epoch:  85 , training loss:  0.30905846 , validation loss:  0.3067698 , validation dice:  0.0 , this epoch took:  1026.6745884418488 s
epoch:  86 , training loss:  0.30896136 , validation loss:  0.3065463 , validation dice:  0.0 , this epoch took:  1041.298808813095 s
epoch:  87 , training loss:  0.30913362 , validation loss:  0.30682302 , validation dice:  0.0 , this epoch took:  1028.1675827503204 s
epoch:  88 , training loss:  0.309198 , validation loss:  0.30712855 , validation dice:  0.0 , this epoch took:  1080.233440876007 s
epoch:  89 , training loss:  0.3090765 , validation loss:  0.30661795 , validation dice:  0.0 , this epoch took:  1086.2062182426453 s
epoch:  90 , training loss:  0.30901632 , validation loss:  0.30692703 , validation dice:  0.0 , this epoch took:  1032.5660245418549 s
epoch:  91 , training loss:  0.30910027 , validation loss:  0.3065641 , validation dice:  0.0 , this epoch took:  1073.0856590270996 s
epoch:  92 , training loss:  0.30892566 , validation loss:  0.30728996 , validation dice:  0.0 , this epoch took:  1051.2168312072754 s
epoch:  93 , training loss:  0.3090531 , validation loss:  0.30690008 , validation dice:  0.0 , this epoch took:  1018.6142916679382 s
epoch:  94 , training loss:  0.30905312 , validation loss:  0.30692574 , validation dice:  0.0 , this epoch took:  1048.853678703308 s
epoch:  95 , training loss:  0.30902025 , validation loss:  0.30756894 , validation dice:  0.0 , this epoch took:  1011.9939956665039 s
epoch:  96 , training loss:  0.3089209 , validation loss:  0.30716115 , validation dice:  0.0 , this epoch took:  997.7074658870697 s
epoch:  97 , training loss:  0.30890942 , validation loss:  0.30679488 , validation dice:  0.0 , this epoch took:  989.0525736808777 s
epoch:  98 , training loss:  0.30900794 , validation loss:  0.3065962 , validation dice:  0.0 , this epoch took:  1005.4011905193329 s
epoch:  99 , training loss:  0.30931103 , validation loss:  0.3070403 , validation dice:  0.0 , this epoch took:  1071.0777616500854 s
epoch:  100 , training loss:  0.30894837 , validation loss:  0.3073959 , validation dice:  0.0 , this epoch took:  975.4159471988678 s
epoch:  101 , training loss:  0.30901283 , validation loss:  0.30696926 , validation dice:  0.0 , this epoch took:  930.2211833000183 s
epoch:  102 , training loss:  0.30936995 , validation loss:  0.3067976 , validation dice:  0.0 , this epoch took:  1054.9838061332703 s
epoch:  103 , training loss:  0.30886123 , validation loss:  0.3066128 , validation dice:  0.0 , this epoch took:  1047.844155550003 s
epoch:  104 , training loss:  0.30920747 , validation loss:  0.30720535 , validation dice:  0.0 , this epoch took:  1080.8023188114166 s
epoch:  105 , training loss:  0.3093462 , validation loss:  0.30660537 , validation dice:  0.0 , this epoch took:  1105.397004365921 s
epoch:  106 , training loss:  0.30906016 , validation loss:  0.30643088 , validation dice:  0.0 , this epoch took:  992.4295728206635 s
